Product Name,Make,Model,Variant,Wheelbase,Height,Roof Wrap Option,Extra Version 1,Extra Option 1,Extra Option 2,Charge,SKU,Square Footage,Rate Per SF,Pricing Rule,Export Note
Chevrolet city express,Chevrolet,City Express,Full,,,Full,,,,3055,235SF,235,13,Till 325 SF: $13/SF,Active variant
Chevrolet city express,Chevrolet,City Express,No,,,No,,,,3000,180SF,180,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Chevrolet city express,Chevrolet,City Express,Top Front,,,Top Front,,,,3000,190SF,190,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Chevy Express,Chevrolet,Express,Long | Full,Long,,Full,,,,3850,350SF,350,11,Roof/Full over 325 SF: $11/SF,Active variant
Chevy Express,Chevrolet,Express,Long | No,Long,,No,,,,3250,250SF,250,13,Till 325 SF: $13/SF,Active variant
Chevy Express,Chevrolet,Express,Long | Top Front Only,Long,,Top Front,,,,3510,270SF,270,13,Till 325 SF: $13/SF,Active variant
Chevy Express,Chevrolet,Express,Short | Full,Short,,Full,,,,3965,305SF,305,13,Till 325 SF: $13/SF,Active variant
Chevy Express,Chevrolet,Express,Short | No,Short,,No,,,,3055,235SF,235,13,Till 325 SF: $13/SF,Active variant
Chevy Express,Chevrolet,Express,Short | Top Front Only,Short,,Top Front,,,,3315,255SF,255,13,Till 325 SF: $13/SF,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | craw | Full,Chassis,,Full,Crew Cab,,,3000,180SF,180,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | craw | No,Chassis,,No,Crew Cab,,,3000,150SF,150,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Double | Full,Chassis,,Full,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Double | No,Chassis,,No,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Reg. Cab | Full,Chassis,,Full,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Reg. Cab | No,Chassis,,No,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Single | Full,Chassis,,Full,Single Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Chassis | Single | No,Chassis,,No,Single Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | craw | Full,Long Box,,Full,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | craw | No,Long Box,,No,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | Double | Full,Long Box,,Full,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | Double | No,Long Box,,No,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | Reg. Cab | Full,Long Box,,Full,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Long Box | Reg. Cab | No,Long Box,,No,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | craw | Full,Short Box,,Full,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | craw | No,Short Box,,No,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Double | Full,Short Box,,Full,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Double | No,Short Box,,No,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Reg. Cab | Full,Short Box,,Full,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Reg. Cab | No,Short Box,,No,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Single | Full,Short Box,,Full,Single Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Short box | Single | No,Short Box,,No,Single Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | craw | Full,Standard Box,,Full,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | craw | No,Standard Box,,No,Crew Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Double | Full,Standard Box,,Full,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Double | No,Standard Box,,No,Double Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Reg. Cab | Full,Standard Box,,Full,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Reg. Cab | No,Standard Box,,No,Regular Cab,,,,,,,,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Single | Full,Standard Box,,Full,Single Cab,,,3185,245SF,245,13,Till 325 SF: $13/SF,Active variant
Chevy Silverado,Chevrolet,Silverado,Standard Box | Single | No,Standard Box,,No,Single Cab,,,3000,225SF,225,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Crysler - Pacifica,Crysler,Pacifica,Full,,,Full,,,,3000,230 SF,230,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Crysler - Pacifica,Crysler,Pacifica,No,,,No,,,,3000,185SF,185,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Dodge ProMaster,Dodge,ProMaster,City | High | Full,City,High,Full,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,City | High | No,City,High,No,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,City | High | Top Front,City,High,Top Front,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,City | Low | Full,City,Low,Full,,,,3458,266SF,266,13,Till 325 SF: $13/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,City | Low | No,City,Low,No,,,,3000,222SF,222,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Dodge ProMaster,Dodge,ProMaster,City | Low | Top Front,City,Low,Top Front,,,,3003,231SF,231,13,Till 325 SF: $13/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | High | Full,Extended,High,Full,,,,4752,432SF,432,11,Roof/Full over 325 SF: $11/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | High | No,Extended,High,No,,,,3960,330SF,330,12,From 325 SF and up: $12/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | High | Top Front,Extended,High,Top Front,,,,4176,348SF,348,12,From 325 SF and up: $12/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | Low | Full,Extended,Low,Full,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | Low | No,Extended,Low,No,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Extended | Low | Top Front,Extended,Low,Top Front,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | High | Full,Medium,High,Full,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | High | No,Medium,High,No,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | High | Top Front,Medium,High,Top Front,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | Low | Full,Medium,Low,Full,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | Low | No,Medium,Low,No,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Medium | Low | Top Front,Medium,Low,Top Front,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | High | Full,Short,High,Full,,,,4488,408SF,408,11,Roof/Full over 325 SF: $11/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | High | No,Short,High,No,,,,3900,300SF,300,13,Till 325 SF: $13/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | High | Top Front,Short,High,Top Front,,,,4140,345SF,345,12,From 325 SF and up: $12/SF,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | Low | Full,Short,Low,Full,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | Low | No,Short,Low,No,,,,,,,,,Active variant
Dodge ProMaster,Dodge,ProMaster,Short | Low | Top Front,Short,Low,Top Front,,,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | craw | Full | 1500,Long Box,,Full,Crew Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | craw | Full | 2500-3500,Long Box,,Full,Crew Cab,2500-3500,,3471,267SF,267,13,Till 325 SF: $13/SF,Active variant
Dodge Ram,Dodge,Ram,Long Box | craw | No | 1500,Long Box,,No,Crew Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | craw | No | 2500-3500,Long Box,,No,Crew Cab,2500-3500,,3000,230SF,230,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Dodge Ram,Dodge,Ram,Long Box | Quad | Full | 1500,Long Box,,Full,Quad Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | Quad | No | 1500,Long Box,,No,Quad Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | Reg. | Full | 2500-3500,Long Box,,Full,Regular Cab,2500-3500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | Reg. | No | 1500,Long Box,,No,Regular Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Long Box | Reg. | No | 2500-3500,Long Box,,No,Regular Cab,2500-3500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,RamBox | craw | Full | 1500,RamBox,,Full,Crew Cab,1500,,3000,230SF,230,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Dodge Ram,Dodge,Ram,RamBox | craw | No | 1500,RamBox,,No,Crew Cab,1500,,3000,200SF,200,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Dodge Ram,Dodge,Ram,Short box | craw | Full | 1500,Short Box,,Full,Crew Cab,1500,,3000,230SF,230,13,"Till 325 SF: $13/SF + $3,000 minimum",Active variant
Dodge Ram,Dodge,Ram,Short box | craw | Full | 2500-3500,Short Box,,Full,Crew Cab,2500-3500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | craw | No | 1500,Short Box,,No,Crew Cab,1500,,3000,200SF,200,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
Dodge Ram,Dodge,Ram,Short box | craw | No | 2500-3500,Short Box,,No,Crew Cab,2500-3500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | Quad | Full | 1500,Short Box,,Full,Quad Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | Quad | No | 1500,Short Box,,No,Quad Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | Reg. | No | 1500,Short Box,,No,Regular Cab,1500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | Mage | Full | 2500-3500,Short Box,Mage,Full,,2500-3500,,,,,,,Active variant
Dodge Ram,Dodge,Ram,Short box | Mage | No | 2500-3500,Short Box,Mage,No,,2500-3500,,,,,,,Active variant
Ford E - Series,Ford,E-Series,Long | Full,Long,,Full,,,,3663,333SF,333,11,Roof/Full over 325 SF: $11/SF,Active variant
Ford E - Series,Ford,E-Series,Long | No,Long,,No,,,,3250,250SF,250,13,Till 325 SF: $13/SF,Active variant
Ford E - Series,Ford,E-Series,Long | Top Front Only,Long,,Top Front,,,,3510,270SF,270,13,Till 325 SF: $13/SF,Active variant
Ford E - Series,Ford,E-Series,Short | Full,Short,,Full,,,,,,,,,Active variant
Ford E - Series,Ford,E-Series,Short | No,Short,,No,,,,,,,,,Active variant
Ford E - Series,Ford,E-Series,Short | Top Front Only,Short,,Top Front,,,,,,,,,Active variant
Ford exploder,Ford,Exploder,Full,,,Full,,,,3250,250SF,250,13,Till 325 SF: $13/SF,Active variant
Ford exploder,Ford,Exploder,No,,,No,,,,3000,200SF,200,14,"Till 200 SF: $14/SF + $3,000 minimum",Active variant
